PeakID (cmd=TPR1_QuEST_peaks.bed tair10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
R-249	Chr5	18215609	18216139	+	214899	NA	Intergenic	Intergenic	-2712	AT5G45100.2	834543	At.26652	NM_123878		AT5G45100	K17O22.9|K17O22_9	S-ribonuclease binding protein	protein-coding
R-250	Chr4	11928828	11929417	+	214297	NA	promoter-TSS (AT4G22690.1)	promoter-TSS (AT4G22690.1)	-237	AT4G22690.1	828365	At.73064	NM_118395		CYP706A1	T12H17.80|T12H17_80|cytochrome P450|family 706|polypeptide 1|subfamily A	cytochrome P450, family 706, subfamily A, polypeptide 1	protein-coding
R-256	Chr2	17114632	17115022	+	213695	NA	promoter-TSS (AT2G41010.1)	promoter-TSS (AT2G41010.1)	-23	AT2G41010.1	818701	At.19612	NM_129666		CAMBP25	ATCAMBP25|T3K9.22|T3K9_22|calmodulin (CAM)-binding protein of 25 kDa	calmodulin binding protein 25	protein-coding
R-255	Chr3	22553157	22553712	+	213695	NA	TTS (AT3G60961.1)	TTS (AT3G60961.1)	814	AT3G60966.1	3769752	At.73258	NM_001035830		AT3G60966	-	protein binding / zinc ion binding protein	protein-coding
R-253	Chr5	534551	534923	+	213695	NA	TTS (AT5G02450.1)	TTS (AT5G02450.1)	1631	AT5G02450.1	831907	At.23015	NM_120323		AT5G02450	-	60S ribosomal protein L36-3	protein-coding
R-257	Chr2	16969473	16969920	+	213695	NA	promoter-TSS (AT2G40670.2)	promoter-TSS (AT2G40670.2)	-534	AT2G40670.2	818662	At.10147	NM_001202793		RR16	ARR16|RESPONSE REGULATOR 16|T7D17.15|T7D17_15|response regulator 16	two-component response regulator ARR16	protein-coding
R-254	Chr4	18127107	18127867	+	213695	NA	TTS (AT4G38850.1)	TTS (AT4G38850.1)	1316	AT4G38850.1	830040	At.31141	NM_120045		SAUR15	ARABIDOPSIS COLUMBIA SAUR GENE 1|ARABIDOPSIS THALIANA SMALL AUXIN UPREGULATED 15|ATSAUR15|F19H22.6|SAUR-AC1|SAUR_AC1|SMALL AUXIN UP RNA 1 FROM ARABIDOPSIS THALIANA ECOTYPE COLUMBIA|SMALL AUXIN UPREGULATED 15	SAUR-like auxin-responsive protein	protein-coding
R-252	Chr1	469073	469714	+	213695	NA	promoter-TSS (AT1G02350.1)	promoter-TSS (AT1G02350.1)	-425	AT1G02350.1	839490	At.70439	NM_100116		AT1G02350	T6A9.34	protoporphyrinogen oxidase-like protein	protein-coding
R-258	Chr2	15014992	15016210	+	213695	NA	Intergenic	Intergenic	-1069	AT2G35720.1	818142	At.31	NM_129128		OWL1	ORIENTATION UNDER VERY LOW FLUENCES OF LIGHT 1|T20F21.9|T20F21_9	chaperone protein dnaJ 13	protein-coding
R-261	Chr3	19538656	19539411	+	213093	NA	promoter-TSS (AT3G52700.1)	promoter-TSS (AT3G52700.1)	-630	AT3G52700.1	824436	At.53907	NM_001125354		AT3G52700	-	hypothetical protein	protein-coding
R-260	Chr5	827699	828294	+	213093	NA	promoter-TSS (AT5G03370.1)	promoter-TSS (AT5G03370.1)	-953	AT5G03370.1	831859	At.33284	NM_120416		AT5G03370	F12E4.110|F12E4_110	acylphosphatase	protein-coding
R-262	Chr2	588909	589196	+	213093	NA	Intergenic	Intergenic	-1928	AT2G02220.1	814753	At.28244	NM_126282		PSKR1	ATPSKR1|PHYTOSULFOKIN RECEPTOR|PHYTOSULFOKIN RECEPTOR 1|PSK RECEPTOR 1|phytosulfokin receptor 1	phytosulfokin receptor 1	protein-coding
R-263	Chr1	5386229	5386806	+	212491	NA	Intergenic	Intergenic	-3435	AT1G15670.1	838136	At.74091	NM_101435		AT1G15670	F7H2.1|F7H2_1	putative F-box/kelch-repeat protein	protein-coding
R-264	Chr2	12258803	12258970	+	212491	NA	Intergenic	Intergenic	-3127	AT2G28610.1	817410	At.28458	NM_128422		PRS	PRESSED FLOWER|PRESSED FLOWER 1|PRS1|T8O18.10|T8O18_10|WOX3|WUSCHEL RELATED HOMEOBOX 3	WUSCHEL-related homeobox 3	protein-coding
R-265	Chr1	4586017	4586230	+	211287	NA	Intergenic	Intergenic	2490	AT1G13370.1	837897	At.42035	NM_101207		AT1G13370	T6J4.12|T6J4_12	histone H3	protein-coding
R-268	Chr3	1838720	1839085	+	211287	NA	promoter-TSS (AT3G06080.1)	promoter-TSS (AT3G06080.1)	-918	AT3G06080.1	819781	At.23540	NM_111483		AT3G06080	F24F17.6|F24F17_6|TBL10|TRICHOME BIREFRINGENCE-LIKE 10	hypothetical protein	protein-coding
R-267	Chr3	6380524	6381387	+	211287	NA	Intergenic	Intergenic	-2553	AT3G18550.2	821386	At.50196	NM_001125184		BRC1	ATTCP18|BRANCHED 1|TCP18	transcription factor TCP18	protein-coding
R-266	Chr5	16400217	16400564	+	211287	NA	promoter-TSS (AT5G40920.1)	promoter-TSS (AT5G40920.1)	-264	AT5G40920.1	3771388				AT5G40920	MHK7.15|MHK7_15	pseudo	pseudo
R-269	Chr3	7502989	7504310	+	210686	NA	Intergenic	Intergenic	-1808	AT3G21320.1	821686	At.51217	NM_113027		AT3G21320	-	hypothetical protein	protein-coding
R-270	Chr2	9528012	9528490	+	210686	NA	promoter-TSS (AT2G22430.1)	promoter-TSS (AT2G22430.1)	-421	AT2G22430.1	816775	At.25257	NM_127808		HB6	ATHB6|F14M13.17|F14M13_17|homeobox protein 6	homeobox-leucine zipper protein ATHB-6	protein-coding
R-272	Chr4	5640239	5641227	+	210084	NA	promoter-TSS (AT4G08850.2)	promoter-TSS (AT4G08850.2)	-97	AT4G08850.1	826456	At.67694	NM_116955		AT4G08850	T32A17.160|T32A17_160	Leucine-rich repeat-containing protein	protein-coding
R-274	Chr3	6182680	6183243	+	209482	NA	promoter-TSS (AT3G18060.1)	promoter-TSS (AT3G18060.1)	-812	AT3G18060.1	821331	At.27343	NM_112688		AT3G18060	-	transducin/WD40 domain-containing protein	protein-coding
R-273	Chr3	22230846	22232022	+	209482	NA	TTS (AT3G60164.1)	TTS (AT3G60164.1)	-1078	AT3G60170.1	3769745				AT3G60170	F27H5.6	pseudo	pseudo
R-275	Chr1	26214219	26214667	+	20888	NA	Intergenic	Intergenic	-1781	AT1G69690.1	843305	At.67300	NM_105637		AT1G69690	T6C23.11|T6C23_11	transcription factor TCP15	protein-coding
R-280	Chr4	10841431	10841991	+	20888	NA	promoter-TSS (AT4G20006.1)	promoter-TSS (AT4G20006.1)	-272	AT4G20010.2	827746	At.1899	NM_001036597		PTAC9	F18F4.110|F18F4_110|ORGANELLAR SINGLE-STRANDED DNA BINDING PROTEIN 2|OSB2|plastid transcriptionally active 9	protein OSB2	protein-coding
R-279	Chr4	13837652	13838226	+	20888	NA	Intergenic	Intergenic	-1136	AT4G27740.1	828888	At.32071	NM_118913		AT4G27740	T29A15.230|T29A15_230	yippee-like protein	protein-coding
R-281	Chr3	19535595	19536503	+	20888	NA	TTS (AT3G52710.1)	TTS (AT3G52710.1)	1464	AT3G52710.1	824437	At.35266	NM_115131		AT3G52710	-	hypothetical protein	protein-coding
R-278	Chr4	18125410	18126206	+	20888	NA	promoter-TSS (AT4G38840.1)	promoter-TSS (AT4G38840.1)	-249	AT4G38840.1	830039	At.73979	NM_120044		AT4G38840	F19H22.7	SAUR-like auxin-responsive protein	protein-coding
R-276	Chr1	3287228	3287963	+	20888	NA	promoter-TSS (AT1G10070.2)	promoter-TSS (AT1G10070.2)	-492	AT1G10070.2	837543	At.48176	NM_001035938		BCAT-2	ATBCAT-2|T27I1.9|T27I1_9|branched-chain amino acid transaminase 2	branched-chain-amino-acid aminotransferase 2	protein-coding
R-282	Chr3	4080516	4081223	+	20888	NA	Intergenic	Intergenic	-1261	AT3G12830.1	820465	At.5682	NM_112119		AT3G12830	-	SAUR-like auxin-responsive protein	protein-coding
R-277	Chr5	18378082	18378877	+	20888	NA	Intergenic	Intergenic	5214	AT5G45350.2	834571	At.71049	NM_001085247		AT5G45350	MFC19.1|MFC19_1	proline-rich family protein	protein-coding
R-283	Chr1	21442971	21444173	+	208278	NA	promoter-TSS (AT1G57990.1)	promoter-TSS (AT1G57990.1)	-652	AT1G57990.1	842166	At.20872	NM_104584		PUP18	ATPUP18|F13D13.3|purine permease 18	purine permease 18	protein-coding
R-285	Chr4	17618460	17619047	+	208278	NA	promoter-TSS (AT4G37470.1)	promoter-TSS (AT4G37470.1)	-280	AT4G37470.1	829902	At.74782	NM_119911		AT4G37470	F6G17.120|F6G17_120	hydrolase, alpha/beta fold family protein	protein-coding
R-284	Chr1	7248466	7248888	+	208278	NA	promoter-TSS (AT1G20840.1)	promoter-TSS (AT1G20840.1)	-534	AT1G20840.1	838676	At.24866	NM_101937		TMT1	F9H16.18|F9H16_18|tonoplast monosaccharide transporter1	monosaccharide-sensing protein 1	protein-coding
R-286	Chr4	12361553	12362096	+	208278	NA	promoter-TSS (AT4G23730.1)	promoter-TSS (AT4G23730.1)	-660	AT4G23730.1	828473	At.32410	NM_118504		AT4G23730	F9D16.200|F9D16_200	glucose-6-phosphate 1-epimerase	protein-coding
R-288	Chr5	25755170	25755724	+	207676	NA	promoter-TSS (AT5G64410.1)	promoter-TSS (AT5G64410.1)	-395	AT5G64410.1	836562	At.7393	NM_125837		OPT4	ARABIDOPSIS THALIANA OLIGOPEPTIDE TRANSPORTER 4|ATOPT4|MSJ1.25|MSJ1_25|oligopeptide transporter 4	oligopeptide transporter 4	protein-coding
R-289	Chr3	21060997	21062216	+	207676	NA	TTS (AT3G56880.1)	TTS (AT3G56880.1)	1691	AT3G56880.1	824855	At.73992	NM_115547		AT3G56880	-	VQ motif-containing protein	protein-coding
R-287	Chr1	7370991	7371368	+	207676	NA	promoter-TSS (AT1G21060.2)	promoter-TSS (AT1G21060.2)	-487	AT1G21060.2	838700	At.43556	NM_001198122		AT1G21060	T22I11.12|T22I11_12	hypothetical protein	protein-coding
R-291	Chr5	8708196	8708453	+	207074	NA	promoter-TSS (AT5G25190.1)	promoter-TSS (AT5G25190.1)	-576	AT5G25190.1	832590	At.26169	NM_122428		AT5G25190	F21J6.103|F21J6_103	ethylene-responsive transcription factor ERF003	protein-coding
R-290	Chr1	19170913	19171460	+	207074	NA	TTS (AT1G51690.2)	TTS (AT1G51690.2)	-2884	AT1G51700.1	841595	At.256	NM_104048		DOF1	ADOF1|DOF zinc finger protein 1|F19C24.9|F19C24_9	Dof zinc finger protein DOF1.7	protein-coding
R-293	Chr4	8879297	8879929	+	206472	NA	promoter-TSS (AT4G15550.1)	promoter-TSS (AT4G15550.1)	-286	AT4G15550.1	827229	At.71482	NM_117646		IAGLU	DL3815C|FCAALL.103|UDP-GLUCOSE:INDOLE-3-ACETATE BETA-D-GLUCOSYLTRANSFERASE|indole-3-acetate beta-D-glucosyltransferase	indole-3-acetate beta-D-glucosyltransferase	protein-coding
R-294	Chr2	304753	305182	+	206472	NA	Intergenic	Intergenic	-1418	AT2G01680.1	814697	At.26721	NM_126229		AT2G01680	T8O11.15|T8O11_15	ankyrin repeats-containing protein	protein-coding
R-292	Chr1	1433932	1434719	+	206472	NA	TTS (AT1G05020.1)	TTS (AT1G05020.1)	-1467	AT1G05010.1	839345	At.23109	NM_100380		EFE	1-AMINOCYCLOPROPANE-1-CARBOXYLATE OXIDASE|ACO4|EAT1|ETHYLENE-FORMING ENZYME|T7A14.12|T7A14_12|ethylene forming enzyme|ethylene-forming enzyme	1-aminocyclopropane-1-carboxylate oxidase	protein-coding
R-295	Chr5	18689357	18689616	+	20587	NA	TTS (AT5G46070.1)	TTS (AT5G46070.1)	1371	AT5G46080.1	834649	At.29976	NM_123976		AT5G46080	MCL19.13|MCL19_13	protein kinase family protein	protein-coding
R-296	Chr4	12169872	12170859	+	20587	NA	promoter-TSS (AT4G23260.1)	promoter-TSS (AT4G23260.1)	-279	AT4G23260.1	828425	At.32453	NM_001203880		CRK18	F21P8.150|F21P8_150|cysteine-rich RLK (RECEPTOR-like protein kinase) 18	cysteine-rich receptor-like protein kinase 18	protein-coding
R-297	Chr1	28644555	28645012	+	205268	NA	intron (AT1G76360.1, intron 2 of 5)	intron (AT1G76360.1, intron 2 of 5)	1929	AT1G76360.1	843968	At.48379	NM_106285		AT1G76360	F15M4.14|F15M4_14	putative protein kinase	protein-coding
R-299	Chr3	1395889	1396271	+	205268	NA	promoter-TSS (AT3G05030.2)	promoter-TSS (AT3G05030.2)	-267	AT3G05030.2	819665	At.40740	NM_001084641		NHX2	ATNHX2|T9J14.2|T9J14_2|sodium hydrogen exchanger 2	sodium/hydrogen exchanger 2	protein-coding
R-298	Chr4	16384830	16385703	+	205268	NA	Intergenic	Intergenic	-1072	AT4G34220.1	829571	At.21017	NM_119586		AT4G34220	F10M10.12	receptor protein kinase-like protein	protein-coding
R-302	Chr1	6673027	6673647	+	204666	NA	promoter-TSS (AT1G19300.1)	promoter-TSS (AT1G19300.1)	-684	AT1G19300.1	838512	At.67922	NM_101787		PARVUS	ATGATL1|F18O14.2|F18O14_2|GALACTURONOSYLTRANSFERASE-LIKE 1|GAOLAOZHUANGREN 1|GATL1|GLZ1	putative galacturonosyltransferase-like 1	protein-coding
R-304	Chr3	22916432	22916649	+	204064	NA	Intergenic	Intergenic	-1215	AT3G61890.1	825362	At.25517	NM_116054		HB-12	ARABIDOPSIS THALIANA HOMEOBOX 12|ATHB-12|ATHB12|homeobox 12	homeobox-leucine zipper protein ATHB-12	protein-coding
R-308	Chr2	15227973	15229064	+	202258	NA	promoter-TSS (AT2G36320.1)	promoter-TSS (AT2G36320.1)	-270	AT2G36320.1	818205	At.73144	NM_129189		AT2G36320	F2H17.7|F2H17_7	zinc finger A20 and AN1 domain-containing stress-associated protein 4	protein-coding
R-311	Chr2	17795838	17796470	+	201656	NA	TTS (AT2G42750.1)	TTS (AT2G42750.1)	1077	AT2G42760.1	818876	At.36972	NM_129837		AT2G42760	F7D19.24|F7D19_24	hypothetical protein	protein-coding
R-310	Chr5	17973008	17973708	+	201656	NA	promoter-TSS (AT5G44575.1)	promoter-TSS (AT5G44575.1)	-480	AT5G44575.1	834485	At.47041	NM_180589		AT5G44575	-	hypothetical protein	protein-coding
R-309	Chr1	20431834	20432134	+	201656	NA	promoter-TSS (AT1G54750.1)	promoter-TSS (AT1G54750.1)	-906	AT1G54750.1	3767456				AT1G54750	T22H22.28	pseudo	pseudo
R-313	Chr5	1460323	1460483	+	201054	NA	Intergenic	Intergenic	-1504	AT5G04960.1	830378	At.43216	NM_120578		AT5G04960	MUG13.18|MUG13_18	Putative pectinesterase/pectinesterase inhibitor 46	protein-coding
R-315	Chr2	8784102	8784781	+	201054	NA	promoter-TSS (AT2G20350.1)	promoter-TSS (AT2G20350.1)	-328	AT2G20350.1	816554	At.50667	NM_127594		AT2G20350	F11A3.10|F11A3_10	ethylene-responsive transcription factor ERF120	protein-coding
R-312	Chr1	28553033	28553260	+	201054	NA	TTS (AT1G76100.1)	TTS (AT1G76100.1)	-1365	AT1G76090.1	843941	At.23490	NM_106258		SMT3	sterol methyltransferase 3	24-methylenesterol C-methyltransferase 3	protein-coding
R-314	Chr3	1065451	1067153	+	201054	NA	Intergenic	Intergenic	-3199	AT3G04070.2	819562	At.42943	NM_001125096		NAC047	NAC domain containing protein 47|T11I18.18|T11I18_18|anac047	NAC domain containing protein 47	protein-coding
R-318	Chr2	15764255	15764692	+	200452	NA	promoter-TSS (AT2G37580.1)	promoter-TSS (AT2G37580.1)	-255	AT2G37580.1	818334	At.37407	NM_129313		AT2G37580	F13M22.1	RING-H2 finger protein ATL33	protein-coding
R-317	Chr3	22142103	22142904	+	200452	NA	promoter-TSS (AT3G59940.1)	promoter-TSS (AT3G59940.1)	-397	AT3G59940.1	825164	At.48785	NM_115857		AT3G59940	-	F-box/kelch-repeat protein SKIP20	protein-coding
R-316	Chr4	14820540	14821220	+	200452	NA	promoter-TSS (AT4G30270.1)	promoter-TSS (AT4G30270.1)	-288	AT4G30270.1	829150	At.75103	NM_119173		XTH24	F9N11.120|F9N11_120|MERI-5|MERI5B|MERISTEM 5|SEN4|SENESCENCE 4|meristem-5|xyloglucan endotransglucosylase/hydrolase 24	xyloglucan:xyloglucosyl transferase	protein-coding
R-321	Chr3	5305727	5305874	+	19985	NA	promoter-TSS (AT3G15650.2)	promoter-TSS (AT3G15650.2)	-118	AT3G15650.2	820808	At.39011	NM_001202974		AT3G15650	-	phospholipase/carboxylesterase family protein	protein-coding
R-319	Chr1	487417	489059	+	19985	NA	intron (AT1G02400.1, intron 1 of 2)	intron (AT1G02400.1, intron 1 of 2)	1437	AT1G02400.1	839508	At.42605	NM_100121		GA2OX6	ARABIDOPSIS THALIANA GIBBERELLIN 2-OXIDASE 4|ARABIDOPSIS THALIANA GIBBERELLIN 2-OXIDASE 6|ATGA2OX4|ATGA2OX6|Arabidopsis thaliana gibberellin 2-oxidase 4|DOWNSTREAM TARGET OF AGL15 1|DTA1|T6A9.9|T6A9_9|gibberellin 2-oxidase 6	gibberellin 2-oxidase 6	protein-coding
R-320	Chr5	23997683	23998431	+	19985	NA	promoter-TSS (AT5G59540.2)	promoter-TSS (AT5G59540.2)	-467	AT5G59540.1	836073	At.9727	NM_001037027		AT5G59540	F2O15.6|F2O15_6	oxidoreductase, 2OG-Fe(II) oxygenase family protein	protein-coding
R-323	Chr5	17792409	17793081	+	199248	NA	Intergenic	Intergenic	-5624	AT5G44190.1	834442	At.19638	NM_123786		GLK2	ATGLK2|GBF'S PRO-RICH REGION-INTERACTING FACTOR 2|GOLDEN2-like 2|GPRI2|MLN1.11|MLN1_11	protein GOLDEN2-like 2	protein-coding
R-324	Chr4	17048412	17049480	+	199248	NA	TTS (AT4G36040.1)	TTS (AT4G36040.1)	1328	AT4G36040.1	829760	At.20876	NM_119771		AT4G36040	T19K4.170|T19K4_170	chaperone protein dnaJ 11	protein-coding
R-322	Chr1	7336856	7337431	+	199248	NA	promoter-TSS (AT1G21000.1)	promoter-TSS (AT1G21000.1)	-585	AT1G21000.1	838694	At.21086	NM_001123850		AT1G21000	F9H16.1|F9H16_1	PLATZ transcription factor domain-containing protein	protein-coding
R-325	Chr1	7388635	7389353	+	198646	NA	promoter-TSS (AT1G21100.1)	promoter-TSS (AT1G21100.1)	-566	AT1G21100.1	838706	At.70478	NM_101964		AT1G21100	T22I11.7|T22I11_7	O-methyltransferase-like protein	protein-coding
R-326	Chr5	24741222	24741704	+	198646	NA	promoter-TSS (AT5G61520.2)	promoter-TSS (AT5G61520.2)	-190	AT5G61520.1	836273	At.19760	NM_001126001		AT5G61520	K11J9.8|K11J9_8	sugar transport protein 3	protein-coding
R-328	Chr3	2007537	2008284	+	198646	NA	Intergenic	Intergenic	-4169	AT3G06500.1	819828	At.40513	NM_111526		AT3G06500	F5E6.17|F5E6_17	putative neutral invertase	protein-coding
R-327	Chr3	20775673	20776182	+	198646	NA	promoter-TSS (AT3G55980.1)	promoter-TSS (AT3G55980.1)	-368	AT3G55980.1	824764	At.68090	NM_115456		SZF1	ATSZF1|salt-inducible zinc finger 1	zinc finger CCCH domain-containing protein 47	protein-coding
R-330	Chr2	12820748	12821193	+	198044	NA	promoter-TSS (AT2G30040.1)	promoter-TSS (AT2G30040.1)	-740	AT2G30040.1	817555	At.28381	NM_128559		MAPKKK14	F23F1.4|F23F1_4|mitogen-activated protein kinase kinase kinase 14	mitogen-activated protein kinase kinase kinase 14	protein-coding
R-332	Chr3	6435519	6436363	+	197442	NA	promoter-TSS (AT3G18710.1)	promoter-TSS (AT3G18710.1)	-380	AT3G18710.1	821402	At.38506	NM_112757		PUB29	ARABIDOPSIS THALIANA PLANT U-BOX 29|ATPUB29|plant U-box 29	U-box domain-containing protein 29	protein-coding
R-336	Chr5	7498077	7498481	+	196239	NA	Intergenic	Intergenic	-1495	AT5G22570.1	832320	At.67241	NM_122163		WRKY38	ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 38|ATWRKY38|MQJ16.11|MQJ16_11|WRKY DNA-binding protein 38	putative WRKY transcription factor 38	protein-coding
R-334	Chr5	25337782	25338005	+	196239	NA	TTS (AT5G63168.1)	TTS (AT5G63168.1)	302	AT5G63168.1	6240391	At.73334	NM_001126010		AT5G63168	-	hypothetical protein	protein-coding
R-337	Chr3	19935275	19937030	+	196239	NA	promoter-TSS (AT3G53810.1)	promoter-TSS (AT3G53810.1)	-918	AT3G53810.1	824548	At.35158	NM_115241		AT3G53810	-	concanavalin A-like lectin kinase-like protein	protein-coding
R-335	Chr5	25324337	25324862	+	196239	NA	TTS (AT5G63130.1)	TTS (AT5G63130.1)	1497	AT5G63130.1	836433	At.61015	NM_125707		AT5G63130	MDC12.9|MDC12_9	octicosapeptide/Phox/Bem1p domain-containing protein	protein-coding
R-339	Chr5	25530555	25530990	+	195637	NA	intron (AT5G63800.1, intron 1 of 15)	intron (AT5G63800.1, intron 1 of 15)	717	AT5G63800.1	836500	At.21611	NM_125775		MUM2	BGAL6|MBK5.28|MBK5_28|MUCILAGE-MODIFIED 2|beta-galactosidase 6	beta-galactosidase 6	protein-coding
R-341	Chr2	13008037	13008256	+	195637	NA	promoter-TSS (AT2G30530.1)	promoter-TSS (AT2G30530.1)	-770	AT2G30530.1	817602	At.14722	NM_128605		AT2G30530	T6B20.12|T6B20_12	hypothetical protein	protein-coding
R-338	Chr1	25469919	25470887	+	195637	NA	TTS (AT1G67910.2)	TTS (AT1G67910.2)	1943	AT1G67910.2	843119	At.35587	NM_001198419		AT1G67910	T23K23.24|T23K23_24	hypothetical protein	protein-coding
R-340	Chr4	9737771	9738722	+	195637	NA	promoter-TSS (AT4G17450.1)	promoter-TSS (AT4G17450.1)	27	AT4G17453.1	6240808	At.73495	NM_001125529		AT4G17453	-	hypothetical protein	protein-coding
R-342	Chr2	9921444	9922556	+	195035	NA	Intergenic	Intergenic	-2933	AT2G23320.1	816864	At.24883	NM_127896		WRKY15	T20D16.5|T20D16_5|WRKY DNA-binding protein 15	putative WRKY transcription factor 15	protein-coding
R-343	Chr2	2520105	2520281	+	195035	NA	Intergenic	Intergenic	-3481	AT2G06390.1	815197				AT2G06390	F18P14.18|F18P14_18	pseudo	pseudo
R-344	Chr1	7570142	7571309	+	194433	NA	promoter-TSS (AT1G21590.1)	promoter-TSS (AT1G21590.1)	-823	AT1G21590.1	838760	At.21971	NM_102008		AT1G21590	F24J8.18|F24J8_18	adenine nucleotide alpha hydrolases-domain containing protein kinase	protein-coding
R-346	Chr4	14999072	14999870	+	194433	NA	Intergenic	Intergenic	-1663	AT4G30800.1	829203	At.2164	NM_119226		AT4G30800	T10C21.1	40S ribosomal protein S11-2	protein-coding
R-345	Chr5	3857396	3857636	+	194433	NA	TTS (AT5G11950.2)	TTS (AT5G11950.2)	2548	AT5G11950.1	831068	At.32192	NM_121233		AT5G11950	F14F18.120|F14F18_120	cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG8	protein-coding
R-347	Chr5	23343208	23343992	+	193831	NA	promoter-TSS (AT5G57630.1)	promoter-TSS (AT5G57630.1)	-342	AT5G57630.1	835868	At.48083	NM_125144		CIPK21	CBL-interacting protein kinase 21|MUA2.22|MUA2_22|SNF1-RELATED PROTEIN KINASE 3.4|SnRK3.4	CBL-interacting serine/threonine-protein kinase 21	protein-coding
R-351	Chr4	12063996	12064406	+	193229	NA	Intergenic	Intergenic	-1343	AT4G23010.3	828400	At.23149	NM_001084964		UTR2	ATUTR2|F7H19.200|F7H19_200|UDP-galactose transporter 2	UDP-galactose transporter 2	protein-coding
R-353	Chr2	18252181	18253094	+	193229	NA	promoter-TSS (AT2G44130.1)	promoter-TSS (AT2G44130.1)	-973	AT2G44130.1	819019	At.75169	NM_129976		AT2G44130	F6E13.26	F-box/kelch-repeat protein	protein-coding
R-349	Chr5	20937495	20938419	+	193229	NA	TTS (AT5G51545.1)	TTS (AT5G51545.1)	1531	AT5G51545.1	3771487	At.63363	NM_001036980		LPA2	low psii accumulation2	low psii accumulation2 protein	protein-coding
R-348	Chr1	7238067	7238796	+	193229	NA	promoter-TSS (AT1G20823.1)	promoter-TSS (AT1G20823.1)	-369	AT1G20823.1	838674	At.15492	NM_101935		AT1G20823	F2D10.34|F2D10_34	RING-H2 finger protein ATL80	protein-coding
R-352	Chr3	6901874	6902482	+	193229	NA	promoter-TSS (AT3G19850.1)	promoter-TSS (AT3G19850.1)	-923	AT3G19850.1	821522	At.22031	NM_112875		AT3G19850	-	Phototropic-responsive NPH3 family protein	protein-coding
R-355	Chr5	7111558	7112184	+	192627	NA	promoter-TSS (AT5G20950.1)	promoter-TSS (AT5G20950.1)	-522	AT5G20950.1	832220	At.23560	NM_122104		AT5G20950	F22D1.120|F22D1_120	Glycosyl hydrolase family protein	protein-coding
R-354	Chr5	7174519	7175303	+	192627	NA	intron (AT5G21105.2, intron 1 of 1)	intron (AT5G21105.2, intron 1 of 1)	956	AT5G21105.2	832235	At.22575	NM_001161257		AT5G21105	-	L-ascorbate oxidase	protein-coding
R-358	Chr5	25080938	25081623	+	192025	NA	promoter-TSS (AT5G62470.1)	promoter-TSS (AT5G62470.1)	-179	AT5G62470.2	836367	At.9303	NM_125641		MYB96	ATMYB96|K19B1.8|K19B1_8|MYB DOMAIN PROTEIN 96|MYBCOV1|myb domain protein 96	myb domain protein 96	protein-coding
R-359	Chr5	1380413	1381248	+	192025	NA	intron (AT5G04770.1, intron 3 of 3)	intron (AT5G04770.1, intron 3 of 3)	1762	AT5G04770.1	830355	At.75036	NM_120559		CAT6	ARABIDOPSIS THALIANA CATIONIC AMINO ACID TRANSPORTER 6|ATCAT6|MUK11.10|cationic amino acid transporter 6	cationic amino acid transporter 6	protein-coding
R-356	Chr1	11283764	11283949	+	192025	NA	Intergenic	Intergenic	-1388	AT1G31530.1	840043	At.51858	NM_102892		AT1G31530	F27M3.24|F27M3_24	DNAse I-like protein	protein-coding
R-360	Chr3	16524073	16525363	+	192025	NA	promoter-TSS (AT3G45140.1)	promoter-TSS (AT3G45140.1)	-692	AT3G45140.1	823650	At.75027	NM_114383		LOX2	ARABIODOPSIS THALIANA LIPOXYGENASE 2|ATLOX2|lipoxygenase 2	lipoxygenase 2	protein-coding
R-361	Chr5	6471189	6471685	+	191423	NA	promoter-TSS (AT5G19250.1)	promoter-TSS (AT5G19250.1)	-469	AT5G19250.1	832045	At.24816	NM_121930		AT5G19250	T24G5.150|T24G5_150	GPI-anchored glycoprotein membrane precursor	protein-coding
R-363	Chr1	26337104	26337645	+	190219	NA	TTS (AT1G69930.1)	TTS (AT1G69930.1)	1421	AT1G69930.1	843329	At.20559	NM_105661		GSTU11	ATGSTU11|T17F3.4|T17F3_4|glutathione S-transferase TAU 11	glutathione S-transferase TAU 11	protein-coding
R-364	Chr5	22055871	22056478	+	189617	NA	promoter-TSS (AT5G54300.1)	promoter-TSS (AT5G54300.1)	-744	AT5G54300.1	835518	At.66770	NM_124810		AT5G54300	MDK4.12|MDK4_12	hypothetical protein	protein-coding
R-365	Chr4	15381790	15382793	+	189617	NA	promoter-TSS (AT4G31800.2)	promoter-TSS (AT4G31800.2)	-910	AT4G31800.1	829308	At.19031	NM_001036689		WRKY18	ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 18|ATWRKY18|F11C18.16|WRKY DNA-binding protein 18	WRKY transcription factor 18	protein-coding
R-368	Chr4	12085732	12087087	+	189015	NA	promoter-TSS (AT4G23060.1)	promoter-TSS (AT4G23060.1)	-794	AT4G23060.1	828405	At.23452	NM_118435		IQD22	F7H19.250|F7H19_250|IQ-domain 22	protein IQ-domain 22	protein-coding
