PeakID (cmd=TPR1eds1_QuEST_peaks.bed tair10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
R-228	Chr2	18535611	18536390	+	19,5373	NA	Intergenic	Intergenic	-1257	AT2G44940	819103	At.14592	NM_130059		AT2G44940	T13E15.25	ethylene-responsive transcription factor ERF034	protein-coding
R-229	Chr2	17189076	17189442	+	19,5373	NA	TTS (AT2G41220.1)	TTS (AT2G41220.1)	2227	AT2G41225	6240955	At.66338	NM_001125021		AT2G41225	-	hypothetical protein	protein-coding
R-23	Chr4	17119343	17120082	+	52,718	NA	TTS (AT4G36180.1)	TTS (AT4G36180.1)	4129	AT4G36180	829775	At.2123	NM_119785		AT4G36180	F23E13.70|F23E13_70	putative LRR receptor-like serine/threonine-protein kinase	protein-coding
R-230	Chr1	26463627	26463854	+	19,4282	NA	promoter-TSS (AT1G70270.1)	promoter-TSS (AT1G70270.1)	-660	AT1G70270	843363	At.35325	NM_105695		AT1G70270	F17O7.20|F17O7_20	hypothetical protein	protein-coding
R-231	Chr1	8909774	8910008	+	19,4282	NA	Intergenic	Intergenic	-1037	AT1G25390	839125	At.17321	NM_102350		AT1G25390	F2J7.14|F2J7_14	protein kinase-like protein	protein-coding
R-232	Chr4	17243203	17243626	+	19,4282	NA	promoter-TSS (AT4G36540.2)	promoter-TSS (AT4G36540.2)	-169	AT4G36540	829806	At.25403	NM_119817		BEE2	AP22.3|AP22_3|BR enhanced expression 2	transcription factor BEE 2	protein-coding
R-235	Chr1	6627667	6628141	+	19,319	NA	promoter-TSS (AT1G19210.1)	promoter-TSS (AT1G19210.1)	-374	AT1G19210	838504	At.17044	NM_101779		AT1G19210	T29M8.8|T29M8_8	ethylene-responsive transcription factor ERF017	protein-coding
R-237	Chr1	6579155	6579767	+	19,2099	NA	promoter-TSS (AT1G19050.1)	promoter-TSS (AT1G19050.1)	-283	AT1G19050	838487	At.238	NM_101763		ARR7	F14D16.20|F14D16_20|response regulator 7	two-component response regulator ARR7	protein-coding
R-238	Chr5	2935531	2936101	+	19,2099	NA	Intergenic	Intergenic	-2531	AT5G09440	830803	At.24839	NM_120981		EXL4	EXORDIUM like 4|T5E8.240|T5E8_240	protein exordium like 4	protein-coding
R-239	Chr4	743956	744525	+	19,2099	NA	promoter-TSS (AT4G01720.1)	promoter-TSS (AT4G01720.1)	-681	AT4G01720	828001	At.27833	NM_116402		WRKY47	AtWRKY47|T15B16.12|T15B16_12	putative WRKY transcription factor 47	protein-coding
R-24	Chr2	17504231	17505108	+	51,1899	NA	Intergenic	Intergenic	-2840	AT2G41940	818794	At.20402	NM_129758		ZFP8	T6D20.16|T6D20_16|ZINC FINGER PROTEIN8|zinc finger protein 8	zinc finger protein 8	protein-coding
R-240	Chr2	19298832	19299212	+	19,2099	NA	TTS (AT2G46980.2)	TTS (AT2G46980.2)	-1196	AT2G46970	819311	At.36425	NM_130265		PIL1	F14M4.20|phytochrome interacting factor 3-like 1	transcription factor PIL1	protein-coding
R-244	Chr1	12167591	12168211	+	18,8824	NA	promoter-TSS (AT1G33560.1)	promoter-TSS (AT1G33560.1)	-867	AT1G33560	840250	At.66955	NM_103079		ADR1	ACTIVATED DISEASE RESISTANCE 1|F10C21.19	disease resistance protein ADR1	protein-coding
R-246	Chr5	2982870	2983373	+	18,8824	NA	TTS (AT5G09620.1)	TTS (AT5G09620.1)	1965	AT5G09610	830820	At.54788	NM_120998		PUM21	APUM21|F17I14.200|F17I14_200|pumilio 21	pumilio 21	protein-coding
R-248	Chr3	22327682	22328415	+	18,8824	NA	Intergenic	Intergenic	-1044	AT3G60400	825211	At.34455	NM_115904		AT3G60400	-	Mitochondrial transcription termination factor family protein	protein-coding
R-249	Chr2	12419779	12420411	+	18,8824	NA	Intergenic	Intergenic	2078	AT2G28920	817441	At.52958	NM_128451		AT2G28920	F8N16.21|F8N16_21	RING/U-box domain-containing protein	protein-coding
R-25	Chr5	766199	766414	+	50,3168	NA	Intergenic	Intergenic	2551	AT5G03220	831902	At.19988	NM_120400		AT5G03220	-	Mediator complex, subunit Med7	protein-coding
R-250	Chr2	11859276	11859621	+	18,8824	NA	promoter-TSS (AT2G27830.1)	promoter-TSS (AT2G27830.1)	-770	AT2G27830	817330	At.67282	NM_128343		AT2G27830	F15K20.7|F15K20_7	hypothetical protein	protein-coding
R-252	Chr1	25610211	25610398	+	18,7733	NA	promoter-TSS (AT1G68330.1)	promoter-TSS (AT1G68330.1)	-619	AT1G68330	843162	At.35540	NM_105504		AT1G68330	T22E19.4|T22E19_4	hypothetical protein	protein-coding
R-253	Chr4	18329584	18330127	+	18,6641	NA	promoter-TSS (AT4G39403.1)	promoter-TSS (AT4G39403.1)	-156	AT4G39403	3770598	At.64219	NM_001036736		PLS	POLARIS	POLARIS protein	protein-coding
R-254	Chr3	6901850	6902424	+	18,6641	NA	promoter-TSS (AT3G19850.1)	promoter-TSS (AT3G19850.1)	-882	AT3G19850	821522	At.22031	NM_112875		AT3G19850	-	Phototropic-responsive NPH3 family protein	protein-coding
R-256	Chr1	7037677	7038542	+	18,555	NA	TTS (AT1G20330.1)	TTS (AT1G20330.1)	2050	AT1G20330	838621	At.71890	NM_101884		SMT2	COTYLEDON VASCULAR PATTERN 1|CVP1|F14O10.7|F14O10_7|FRILL1|FRL1|sterol methyltransferase 2	24-methylenesterol C-methyltransferase 2	protein-coding
R-257	Chr4	12394011	12394380	+	18,555	NA	promoter-TSS (AT4G23810.1)	promoter-TSS (AT4G23810.1)	-213	AT4G23810	828481	At.71059	NM_118512		WRKY53	ATWRKY53|T32A16.2	putative WRKY transcription factor 53	protein-coding
R-258	Chr5	16635028	16635797	+	18,4458	NA	promoter-TSS (AT5G41600.1)	promoter-TSS (AT5G41600.1)	-718	AT5G41600	834162	At.8344	NM_123524		BTI3	MBK23.13|MBK23_13|RTNLB4|Reticulan like protein B4|VIRB2-interacting protein 3	reticulon-like protein B4	protein-coding
R-259	Chr5	3856944	3857622	+	18,4458	NA	TTS (AT5G11950.2)	TTS (AT5G11950.2)	2315	AT5G11950	831068	At.32192	NM_121233		AT5G11950	F14F18.120|F14F18_120	cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG8	protein-coding
R-260	Chr3	10022363	10023110	+	18,4458	NA	Intergenic	Intergenic	-1281	AT3G27170	822336	At.37101	NM_113631		CLC-B	ATCLC-B|chloride channel B	chloride channel protein CLC-b	protein-coding
R-261	Chr1	21205159	21205600	+	18,3367	NA	promoter-TSS (AT1G56590.1)	promoter-TSS (AT1G56590.1)	-637	AT1G56590	842113	At.42747	NM_104536		ZIP4	F25P12.96|F25P12_96|ZIG SUPPRESSOR 4	clathrin adaptor complexes medium subunit-like protein	protein-coding
R-263	Chr2	10119543	10119857	+	18,3367	NA	TTS (AT2G23770.1)	TTS (AT2G23770.1)	2380	AT2G23770	816909	At.39248	NM_127940		AT2G23770	F27L4.5|F27L4_5	lysin motif receptor-like kinase	protein-coding
R-264	Chr1	8384481	8385285	+	18,2275	NA	promoter-TSS (AT1G23710.1)	promoter-TSS (AT1G23710.1)	-368	AT1G23710	838981	At.10942	NM_102219		AT1G23710	F5O8.26|F5O8_26	hypothetical protein	protein-coding
R-266	Chr3	4723624	4724012	+	18,2275	NA	Intergenic	Intergenic	-2867	AT3G14205	820638	At.26576	NM_112277		AT3G14205	-	Phosphoinositide phosphatase family protein	protein-coding
R-268	Chr2	11374316	11374712	+	18,2275	NA	Intergenic	Intergenic	5918	AT2G26700	817211	At.38857	NM_128227		PID2	F18A8.7|F18A8_7|PINOID2	protein pinoid2	protein-coding
R-269	Chr2	9405904	9406202	+	18,2275	NA	promoter-TSS (AT2G22125.1)	promoter-TSS (AT2G22125.1)	-210	AT2G22125	816747	At.24341	NM_127781		AT2G22125	T16B14.2	cellulose synthase-interactive protein 1	protein-coding
R-270	Chr5	25399148	25399935	+	18,1184	NA	promoter-TSS (AT5G63420.1)	promoter-TSS (AT5G63420.1)	-845	AT5G63420	836461	At.28999	NM_125737		emb2746	MLE2.5|MLE2_5|embryo defective 2746	RNA-metabolising metallo-beta-lactamase family protein	protein-coding
R-271	Chr4	15494002	15494154	+	18,1184	NA	promoter-TSS (AT4G32040.1)	promoter-TSS (AT4G32040.1)	13	AT4G32040	829335	At.20704	NM_119356		KNAT5	F10N7.150|F10N7_150|KNOTTED1-like homeobox gene 5|TRANSCRIPTION FACTOR	homeobox protein knotted-1-like 5	protein-coding
R-272	Chr2	10106145	10106785	+	18,1184	NA	Intergenic	Intergenic	-2436	AT2G23755	816907	At.45723	NM_179712		AT2G23755	-	hypothetical protein	protein-coding
R-273	Chr1	10353692	10354354	+	18,0093	NA	TTS (AT1G29630.1)	TTS (AT1G29630.1)	2459	AT1G29640	839841	At.40695	NM_102704		AT1G29640	F15D2.20|F15D2_20	hypothetical protein	protein-coding
R-274	Chr5	17969517	17970039	+	18,0093	NA	promoter-TSS (AT5G44574.1)	promoter-TSS (AT5G44574.1)	-915	AT5G44574	5008299	At.48062	NM_001085243		AT5G44574	-	hypothetical protein	protein-coding
R-275	Chr5	3443705	3444068	+	18,0093	NA	exon (AT5G10920.1, exon 5 of 5)	exon (AT5G10920.1, exon 5 of 5)	2134	AT5G10920	830959	At.24301	NM_121130		AT5G10920	T30N20.190|T30N20_190	argininosuccinate lyase	protein-coding
R-276	Chr4	13023376	13024119	+	18,0093	NA	promoter-TSS (AT4G25500.4)	promoter-TSS (AT4G25500.4)	-824	AT4G25500	828654	At.10187	NM_001084978		RSP35	ARABIDOPSIS THALIANA ARGININE/SERINE-RICH SPLICING FACTOR 35|ARGININE/SERINE-RICH SPLICING FACTOR|AT-SRP40|ATRSP35|ATRSP40|SPLICING FACTOR AT-SRP40|T30C3.9|arginine/serine-rich splicing factor 35	arginine/serine-rich-splicing factor RSP40	protein-coding
R-277	Chr3	8902687	8902911	+	18,0093	NA	promoter-TSS (AT3G24480.1)	promoter-TSS (AT3G24480.1)	-161	AT3G24480	822038	At.47870	NM_113355		AT3G24480	-	leucine-rich repeat extensin-like protein 4	protein-coding
R-279	Chr1	6803006	6803378	+	17,9001	NA	promoter-TSS (AT1G19660.2)	promoter-TSS (AT1G19660.2)	-507	AT1G19660	838553	At.16184	NM_001035991		AT1G19660	F14P1.1|F14P1_1	putative wound-responsive protein	protein-coding
R-28	Chr1	29337608	29338223	+	48,4613	NA	promoter-TSS (AT1G78020.1)	promoter-TSS (AT1G78020.1)	-778	AT1G78020	844137	At.16526	NM_106451		AT1G78020	F28K19.24|F28K19_24	hypothetical protein	protein-coding
R-280	Chr5	21029696	21030190	+	17,9001	NA	TTS (AT5G51760.1)	TTS (AT5G51760.1)	-1087	AT5G51770	835251	At.55492	NM_124556		AT5G51770	MIO24.10|MIO24_10	protein kinase family protein	protein-coding
R-283	Chr1	26591506	26591952	+	17,791	NA	promoter-TSS (AT1G70530.1)	promoter-TSS (AT1G70530.1)	-350	AT1G70530	843390	At.35293	NM_105721		CRK3	F24J13.10|F24J13_10|cysteine-rich RLK (RECEPTOR-like protein kinase) 3	cysteine-rich receptor-like protein kinase 3	protein-coding
R-284	Chr5	2615410	2615794	+	17,791	NA	promoter-TSS (AT5G08139.1)	promoter-TSS (AT5G08139.1)	-743	AT5G08139	830709	At.66679	NM_180459		AT5G08139	-	RING/U-box domain-containing protein	protein-coding
R-286	Chr3	6118356	6118585	+	17,6818	NA	Intergenic	Intergenic	-1297	AT3G17860	821055	At.8035	NM_001084705		JAZ3	JAI3|JASMONATE-INSENSITIVE 3|TIFY6B|jasmonate-zim-domain protein 3	protein TIFY 6B	protein-coding
R-287	Chr1	30238854	30239441	+	17,5727	NA	promoter-TSS (AT1G80420.2)	promoter-TSS (AT1G80420.2)	-612	AT1G80420	844382	At.75584	NM_001084387		ATXRCC1	T21F11.25|T21F11_25	DNA-repair protein XRCC1	protein-coding
R-288	Chr5	23359134	23360315	+	17,5727	NA	TTS (AT5G57670.2)	TTS (AT5G57670.2)	4033	AT5G57670	835873	At.70287	NM_001085293		AT5G57670	-	protein kinase-like protein	protein-coding
R-289	Chr4	14999068	14999527	+	17,5727	NA	Intergenic	Intergenic	-1512	AT4G30790	829202	At.43716	NM_119225		AT4G30790	T10C21.140|T10C21_140	hypothetical protein	protein-coding
R-291	Chr3	3582497	3583113	+	17,4635	NA	Intergenic	Intergenic	1910	AT3G11405	2745882	At.63151	NM_202554		AT3G11405	-	hypothetical protein	protein-coding
R-292	Chr3	2352866	2353178	+	17,4635	NA	Intergenic	Intergenic	-1697	AT3G07360	819924	At.21635	NM_001035579		PUB9	ARABIDOPSIS THALIANA PLANT U-BOX 9|ATPUB9|plant U-box 9	U-box domain-containing protein 9	protein-coding
R-293	Chr5	8777114	8777840	+	17,3544	NA	Intergenic	Intergenic	-1115	AT5G25290	832601	At.54988	NM_122438		AT5G25290	F18G18.30|F18G18_30	F-box protein	protein-coding
R-294	Chr1	29519856	29520382	+	17,2452	NA	promoter-TSS (AT1G78460.1)	promoter-TSS (AT1G78460.1)	-796	AT1G78460	844182	At.14786	NM_106493		AT1G78460	F3F9.3	SOUL heme-binding protein	protein-coding
R-295	Chr5	19308608	19309281	+	17,2452	NA	promoter-TSS (AT5G47640.1)	promoter-TSS (AT5G47640.1)	-283	AT5G47640	834815	At.71142	NM_124138		NF-YB2	MNJ7.23|MNJ7_23|nuclear factor Y|subunit B2	nuclear transcription factor Y subunit B-2	protein-coding
R-298	Chr1	28553027	28553255	+	17,1361	NA	TTS (AT1G76100.1)	TTS (AT1G76100.1)	-1360	AT1G76090	843941	At.23490	NM_106258		SMT3	sterol methyltransferase 3	24-methylenesterol C-methyltransferase 3	protein-coding
R-299	Chr1	4541747	4542360	+	17,1361	NA	promoter-TSS (AT1G13260.1)	promoter-TSS (AT1G13260.1)	-115	AT1G13260	837886	At.20558	NM_101197		RAV1	EDF4|ETHYLENE RESPONSE DNA BINDING FACTOR 4|T6J4.2|T6J4_2|related to ABI3/VP1 1	AP2/ERF and B3 domain-containing transcription factor RAV1	protein-coding
R-300	Chr3	16481769	16482154	+	17,1361	NA	Intergenic	Intergenic	-2479	AT3G45060	823641	At.48735	NM_114375		NRT2.6	ARABIDOPSIS THALIANA HIGH AFFINITY NITRATE TRANSPORTER 2.6|ATNRT2.6|high affinity nitrate transporter 2.6	high affinity nitrate transporter 2.6	protein-coding
R-303	Chr3	2169338	2170189	+	17,1361	NA	promoter-TSS (AT3G06870.1)	promoter-TSS (AT3G06870.1)	-803	AT3G06870	819871	At.68713	NM_111567		AT3G06870	-	proline-rich family protein	protein-coding
R-305	Chr2	13628111	13628652	+	17,1361	NA	intron (AT2G32010.2, intron 10 of 12)	intron (AT2G32010.2, intron 10 of 12)	3387	AT2G32020	817762	At.38127	NM_128762		AT2G32020	F22D22.23|F22D22_23	GCN5-related N-acetyltransferase-like protein	protein-coding
R-306	Chr1	26123434	26123757	+	17,0269	NA	promoter-TSS (AT1G69500.1)	promoter-TSS (AT1G69500.1)	-345	AT1G69500	843283	At.35411	NM_105617		CYP704B1	F10D13.15|F10D13_15|cytochrome P450|family 704|polypeptide 1|subfamily B	cytochrome P450, family 704, subfamily B, polypeptide 1	protein-coding
R-308	Chr4	12181190	12181467	+	17,0269	NA	promoter-TSS (AT4G23300.1)	promoter-TSS (AT4G23300.1)	-502	AT4G23290	828428	At.32447	NM_118458		CRK21	F21P8.180|F21P8_180|cysteine-rich RLK (RECEPTOR-like protein kinase) 21	cysteine-rich receptor-like protein kinase 21	protein-coding
R-309	Chr3	8167251	8167806	+	17,0269	NA	Intergenic	Intergenic	3578	AT3G22990	821873	At.37780	NM_113199		LFR	LEAF AND FLOWER RELATED	leaf and flower related protein	protein-coding
R-310	Chr1	2335705	2335967	+	16,9178	NA	TTS (AT1G07590.1)	TTS (AT1G07590.1)	1014	AT1G07580	3766674				AT1G07580	51945.TRNA-ALA-1	tRNA	tRNA
R-311	Chr5	2354661	2354945	+	16,9178	NA	TTS (AT5G07430.1)	TTS (AT5G07430.1)	-1134	AT5G07440	830635	At.21712	NM_001125711		GDH2	GLUTAMATE DEHYDROGENASE 2|T2I1.150|T2I1_150|glutamate dehydrogenase 2	glutamate dehydrogenase 2	protein-coding
R-312	Chr5	1669106	1669673	+	16,9178	NA	Intergenic	Intergenic	-1037	AT5G05590	830442	At.48988	NM_120641		PAI2	MOP10.13|MOP10_13|PHOSPHORIBOSYLANTHRANILATE ISOMERASE|phosphoribosylanthranilate isomerase 2	phosphoribosylanthranilate isomerase 2	protein-coding
R-313	Chr2	12280634	12281077	+	16,9178	NA	Intergenic	Intergenic	-3610	AT2G28630	817412	At.26366	NM_128424		KCS12	3-ketoacyl-CoA synthase 12|T8O18.8|T8O18_8	3-ketoacyl-CoA synthase 12	protein-coding
R-314	Chr2	3607030	3607186	+	16,9178	NA	Intergenic	Intergenic	2580	AT2G07880	2745474				AT2G07880	-	pseudo	pseudo
R-317	Chr1	7400967	7401444	+	16,6995	NA	promoter-TSS (AT1G21130.2)	promoter-TSS (AT1G21130.2)	-600	AT1G21130	838709	At.48214	NM_101967		AT1G21130	T22I11.4|T22I11_4	O-methyltransferase-like protein	protein-coding
R-318	Chr5	388492	389141	+	16,6995	NA	promoter-TSS (AT5G02020.2)	promoter-TSS (AT5G02020.2)	12	AT5G02021	6240936	At.73449	NM_001125682		AT5G02021	-	hypothetical protein	protein-coding
R-319	Chr4	12727004	12727441	+	16,6995	NA	TTS (AT4G24670.2)	TTS (AT4G24670.2)	-1585	AT4G24660	828568	At.2543	NM_118599		HB22	ATHB22|F22K18.140|F22K18_140|HOMEOBOX PROTEIN 22|MATERNAL EFFECT EMBRYO ARREST 68|MEE68|homeobox protein 22	ZF-HD homeobox protein	protein-coding
R-32	Chr5	2400505	2401312	+	46,9332	NA	TTS (AT5G07580.1)	TTS (AT5G07580.1)	1404	AT5G07580	830651	At.26419	NM_120840		AT5G07580	MBK20.1	ERF/AP2 transcription factor	protein-coding
R-321	Chr3	18478346	18478546	+	16,6995	NA	Intergenic	Intergenic	-1612	AT3G49810	824143	At.71195	NM_114841		AT3G49810	-	U-box domain-containing protein 30	protein-coding
R-322	Chr1	7899985	7900276	+	16,5903	NA	promoter-TSS (AT1G22370.2)	promoter-TSS (AT1G22370.2)	-251	AT1G22370	838844	At.15676	NM_102087		UGT85A5	AtUGT85A5|T16E15.2|T16E15_2|UDP-glucosyl transferase 85A5	UDP-glucosyl transferase 85A5	protein-coding
R-324	Chr1	1773632	1774114	+	16,5903	NA	promoter-TSS (AT1G05870.3)	promoter-TSS (AT1G05870.3)	-580	AT1G05870	837097	At.42366	NM_001197988		AT1G05870	T20M3.14|T20M3_14	hypothetical protein	protein-coding
R-325	Chr5	26846020	26846887	+	16,5903	NA	Intergenic	Intergenic	-1263	AT5G67280	836863	At.7938	NM_126128		RLK	K3G17.4|K3G17_4|receptor-like kinase	receptor-like kinase	protein-coding
R-326	Chr4	14545735	14546180	+	16,5903	NA	promoter-TSS (AT4G29700.1)	promoter-TSS (AT4G29700.1)	-819	AT4G29700	829091	At.19020	NM_119115		AT4G29700	T16L4.210|T16L4_210	alkaline-phosphatase-like protein	protein-coding
R-328	Chr1	363974	364533	+	16,4812	NA	promoter-TSS (AT1G02065.1)	promoter-TSS (AT1G02065.1)	-956	AT1G02065	839275	At.499	NM_148426		SPL8	squamosa promoter binding protein-like 8	squamosa promoter-binding-like protein 8	protein-coding
R-329	Chr3	23195808	23196337	+	16,4812	NA	promoter-TSS (AT3G62700.1)	promoter-TSS (AT3G62700.1)	-310	AT3G62700	825444	At.4827	NM_116135		MRP10	ATMRP10|multidrug resistance-associated protein 10	ABC transporter C family member 14	protein-coding
R-33	Chr3	17479297	17479663	+	46,8241	NA	Intergenic	Intergenic	-1123	AT3G47430	823897	At.35807	NM_114611		PEX11B	peroxin 11B	peroxisomal membrane protein 11B	protein-coding
R-330	Chr3	6933648	6934214	+	16,4812	NA	promoter-TSS (AT3G19930.1)	promoter-TSS (AT3G19930.1)	-842	AT3G19930	821531	At.187	NM_112883		STP4	ATSTP4|SUGAR TRANSPORTER 4|sugar transporter 4	sugar transport protein 4	protein-coding
R-331	Chr2	14290836	14291003	+	16,4812	NA	TTS (AT2G33780.1)	TTS (AT2G33780.1)	887	AT2G33780	817945	At.67381	NM_128937		AT2G33780	T1B8.28|T1B8_28	VQ motif-containing protein	protein-coding
R-332	Chr2	11947195	11947807	+	16,4812	NA	Intergenic	Intergenic	-3897	AT2G28056	3768120				MIR172A	MICRORNA 172|MIR172|microRNA172A	ncRNA	ncRNA
R-333	Chr2	9258233	9258520	+	16,4812	NA	Intergenic	Intergenic	-1207	AT2G21650	816703	At.43298	NM_127736		MEE3	ARABIDOPSIS RAD-LIKE 2|ATRL2|F2G1.8|F2G1_8|MATERNAL EFFECT EMBRYO ARREST 3|RADIALIS-LIKE SANT/MYB 1|RSM1	maternal effect embryo arrest 3 protein	protein-coding
R-334	Chr1	21706697	21707003	+	16,372	NA	promoter-TSS (AT1G58420.1)	promoter-TSS (AT1G58420.1)	-529	AT1G58420	842211	At.42952	NM_104622		AT1G58420	F9K23.5|F9K23_5	hypothetical protein	protein-coding
R-335	Chr5	26808102	26808632	+	16,372	NA	TTS (AT5G67190.1)	TTS (AT5G67190.1)	1322	AT5G67190	836854	At.50633	NM_126119		DEAR2	DREB and EAR motif protein 2|K21H1.15|K21H1_15	ethylene-responsive transcription factor ERF010	protein-coding
R-336	Chr5	25530572	25530880	+	16,372	NA	intron (AT5G63800.1, intron 1 of 15)	intron (AT5G63800.1, intron 1 of 15)	671	AT5G63800	836500	At.21611	NM_125775		MUM2	BGAL6|MBK5.28|MBK5_28|MUCILAGE-MODIFIED 2|beta-galactosidase 6	beta-galactosidase 6	protein-coding
R-337	Chr5	21725644	21726001	+	16,372	NA	3' UTR (AT5G53500.1, exon 6 of 6)	3' UTR (AT5G53500.1, exon 6 of 6)	-1180	AT5G53490	835431	At.70747	NM_001203602		AT5G53490	MNC6.3|MNC6_3	thylakoid lumenal protein	protein-coding
R-339	Chr5	13693254	13693388	+	16,372	NA	Intergenic	Intergenic	-1544	AT5G35495	3771278				AT5G35495	-	pseudo	pseudo
R-34	Chr3	12453813	12454124	+	46,3875	NA	Intergenic	Intergenic	-2720	AT3G30775	822833	At.74287	NM_113981		ERD5	ARABIDOPSIS THALIANA PROLINE OXIDASE|AT-POX|ATPDH|ATPOX|EARLY RESPONSIVE TO DEHYDRATION 5|PRO1|PRODH|PROLINE DEHYDROGENASE|PROLINE OXIDASE	proline dehydrogenase 1	protein-coding
R-340	Chr4	17468875	17469811	+	16,372	NA	Intergenic	Intergenic	-2234	AT4G37070	829861	At.23952	NM_001085037		PLP1	AP22.83|AP22_83|AtPLAIVA|PLA IVA|phospholipase A IVA	patatin-like protein	protein-coding
R-341	Chr3	19855274	19856117	+	16,372	NA	Intergenic	Intergenic	-1175	AT3G53550	824523	At.53919	NM_115215		AT3G53550	-	FBD-like domain family protein	protein-coding
R-342	Chr3	3698620	3698890	+	16,372	NA	promoter-TSS (AT3G11700.1)	promoter-TSS (AT3G11700.1)	-84	AT3G11700	820342	At.22262	NM_112002		FLA18	FASCICLIN-like arabinogalactan protein 18 precursor	fasciclin-like arabinogalactan protein 18	protein-coding
R-343	Chr2	18368857	18369728	+	16,372	NA	Intergenic	Intergenic	4536	AT2G44490	819056	At.36752	NM_130012		PEN2	BETA GLUCOSIDASE 26|BGLU26|F4I1.30|PENETRATION 2	beta-glucosidase 26	protein-coding
R-344	Chr5	23700173	23700738	+	16,2629	NA	promoter-TSS (AT5G58650.1)	promoter-TSS (AT5G58650.1)	-229	AT5G58650	835979	At.66734	NM_125252		PSY1	MZN1.10|MZN1_10|plant peptide containing sulfated tyrosine 1	Tyrosine-sulfated glycopeptide 1	protein-coding
R-345	Chr5	3505255	3506037	+	16,2629	NA	Intergenic	Intergenic	3554	AT5G11050	830972	At.10025	NM_121143		MYB64	AtMYB64|T5K6.40|T5K6_40|myb domain protein 64	myb domain protein 64	protein-coding
R-349	Chr1	24743749	24744351	+	16,1538	NA	Intergenic	Intergenic	-4145	AT1G66350	842953	At.75607	NM_105306		RGL1	RGA-like 1|RGL|T27F4.10|T27F4_10	DELLA protein RGL1	protein-coding
R-350	Chr1	8976153	8976589	+	16,1538	NA	promoter-TSS (AT1G25550.1)	promoter-TSS (AT1G25550.1)	-63	AT1G25550	839142	At.25159	NM_102366		AT1G25550	-	myb-like transcription factor-like protein	protein-coding
R-352	Chr4	8415613	8416062	+	16,1538	NA	promoter-TSS (AT4G14680.1)	promoter-TSS (AT4G14680.1)	-446	AT4G14680	827118	At.23929	NM_117550		APS3	DL3380C|FCAALL.128	3'-phosphoadenosine 5'-phosphosulfate synthase	protein-coding
R-353	Chr5	26811076	26811342	+	16,0446	NA	Intergenic	Intergenic	-1520	AT5G67190	836854	At.50633	NM_126119		DEAR2	DREB and EAR motif protein 2|K21H1.15|K21H1_15	ethylene-responsive transcription factor ERF010	protein-coding
R-354	Chr3	19806983	19807592	+	16,0446	NA	Intergenic	Intergenic	-1574	AT3G53420	824510	At.47609	NM_001035774		PIP2A	PIP2|PIP2;1|PLASMA MEMBRANE INTRINSIC PROTEIN 2|PLASMA MEMBRANE INTRINSIC PROTEIN 2;1|plasma membrane intrinsic protein 2A	aquaporin PIP2-1	protein-coding
R-357	Chr1	19825239	19825982	+	15,9355	NA	Intergenic	Intergenic	-3358	AT1G53170	841751	At.4604	NM_104196		ERF8	ATERF-8|ATERF8|ERF TRANSCRIPTION FACTOR8|ETHYLENE RESPONSE ELEMENT BINDING FACTOR 4|F8L10.19|ethylene response factor 8	ethylene-responsive transcription factor 8	protein-coding
R-358	Chr1	10305253	10305693	+	15,9355	NA	promoter-TSS (AT1G29440.1)	promoter-TSS (AT1G29440.1)	-365	AT1G29440	839820	At.65043	NM_102684		AT1G29440	F15D2.3|F15D2_3	SAUR-like auxin-responsive protein	protein-coding
R-359	Chr1	27159458	27161294	+	15,8263	NA	TTS (AT1G72175.1)	TTS (AT1G72175.1)	-2444	AT1G72180	843550	At.74870	NM_105877		AT1G72180	T9N14.3|T9N14_3	leucine-rich receptor-like protein kinase	protein-coding
R-360	Chr1	18680580	18681236	+	15,8263	NA	promoter-TSS (AT1G50420.1)	promoter-TSS (AT1G50420.1)	-791	AT1G50420	841464	At.14826	NM_103925		SCL3	F11F12.22|F11F12_22|SCARECROW-LIKE 3|SCL-3|scarecrow-like 3	scarecrow-like protein 3	protein-coding
R-362	Chr4	9757185	9757476	+	15,8263	NA	Intergenic	Intergenic	-1995	AT4G17500	827464	At.68141	NM_117855		ERF-1	ATERF-1|DL4785W|FCAALL.123|ethylene responsive element binding factor 1	ethylene-responsive transcription factor 1A	protein-coding
R-363	Chr2	17506294	17506714	+	15,8263	NA	Intergenic	Intergenic	-1005	AT2G41940	818794	At.20402	NM_129758		ZFP8	T6D20.16|T6D20_16|ZINC FINGER PROTEIN8|zinc finger protein 8	zinc finger protein 8	protein-coding
R-364	Chr2	9520650	9521105	+	15,8263	NA	Intergenic	Intergenic	3860	AT2G22426	6241222	At.73765	NM_001124890		AT2G22426	-	hypothetical protein	protein-coding
R-366	Chr5	5215775	5216332	+	15,7172	NA	TTS (AT5G15980.1)	TTS (AT5G15980.1)	-1722	AT5G15990	831456				AT5G15990	F1N13.130|F1N13_130	pseudo	pseudo
R-369	Chr5	331925	332264	+	15,608	NA	promoter-TSS (AT5G01850.1)	promoter-TSS (AT5G01850.1)	-243	AT5G01850	831760	At.4736	NM_120263		AT5G01850	T20L15.120|T20L15_120	protein kinase family protein	protein-coding
